Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,1500.0,1515.0,1485.0,1506.0,1506.0,2232519
2024-01-02,1505.2631578947369,1520.2631578947369,1490.2631578947369,1505.2631578947369,1505.2631578947369,1617478
2024-01-03,1510.5263157894738,1525.5263157894738,1495.5263157894738,1519.5263157894738,1519.5263157894738,1717245
2024-01-04,1515.7894736842106,1530.7894736842106,1500.7894736842106,1505.7894736842106,1505.7894736842106,2124666
2024-01-05,1521.0526315789473,1536.0526315789473,1506.0526315789473,1529.0526315789473,1529.0526315789473,1659628
2024-01-06,1526.3157894736842,1541.3157894736842,1511.3157894736842,1529.3157894736842,1529.3157894736842,1741675
2024-01-07,1531.578947368421,1546.578947368421,1516.578947368421,1532.578947368421,1532.578947368421,2384797
2024-01-08,1536.842105263158,1551.842105263158,1521.842105263158,1540.842105263158,1540.842105263158,2407864
2024-01-09,1542.1052631578948,1557.1052631578948,1527.1052631578948,1541.1052631578948,1541.1052631578948,1663913
2024-01-10,1547.3684210526317,1562.3684210526317,1532.3684210526317,1551.3684210526317,1551.3684210526317,1529441
2024-01-11,1552.6315789473683,1567.6315789473683,1537.6315789473683,1545.6315789473683,1545.6315789473683,2360563
2024-01-12,1557.8947368421052,1572.8947368421052,1542.8947368421052,1553.8947368421052,1553.8947368421052,2234843
2024-01-13,1563.157894736842,1578.157894736842,1548.157894736842,1556.157894736842,1556.157894736842,2037176
2024-01-14,1568.421052631579,1583.421052631579,1553.421052631579,1569.421052631579,1569.421052631579,2370812
2024-01-15,1573.6842105263158,1588.6842105263158,1558.6842105263158,1565.6842105263158,1565.6842105263158,1837468
2024-01-16,1578.9473684210527,1593.9473684210527,1563.9473684210527,1584.9473684210527,1584.9473684210527,2457257
2024-01-17,1584.2105263157896,1599.2105263157896,1569.2105263157896,1577.2105263157896,1577.2105263157896,2463348
2024-01-18,1589.4736842105262,1604.4736842105262,1574.4736842105262,1595.4736842105262,1595.4736842105262,2207390
2024-01-19,1594.7368421052631,1609.7368421052631,1579.7368421052631,1585.7368421052631,1585.7368421052631,2100959
2024-01-20,1600.0,1615.0,1585.0,1600.0,1600.0,1745922
